user_id,public,completion_percentage,gender,region,age
1,1,14,1,zilinsky kraj  zilina,26
2,1,62,0,zilinsky kraj  kysucke nove mesto,0
3,0,38,1,bratislavsky kraj  bratislava - karlova ves,29
4,1,12,0,banskobystricky kraj  brezno,26
5,1,66,1,zilinsky kraj  zilina,26
6,0,22,0,zilinsky kraj  zilina,38
7,1,12,0,zilinsky kraj  martin,22
8,0,12,1,trenciansky kraj  ilava,26
9,0,12,0,banskobystricky kraj  brezno,0
10,1,64,0,zilinsky kraj  cadca,22
11,1,45,0,banskobystricky kraj  brezno,22
12,1,67,1,banskobystricky kraj  brezno,26
13,1,28,0,banskobystricky kraj  brezno,0
14,0,41,0,nitriansky kraj  nitra,0
15,0,53,1,zilinsky kraj  zilina,26
16,1,64,1,zilinsky kraj  kysucke nove mesto,23
17,1,47,0,zilinsky kraj  martin,27
18,1,31,1,zilinsky kraj  kysucke nove mesto,18
19,1,64,1,zilinsky kraj  kysucke nove mesto,21
20,0,12,0,zilinsky kraj  kysucke nove mesto,20
21,0,81,0,zilinsky kraj  cadca,17
22,0,28,0,zilinsky kraj  kysucke nove mesto,19
23,0,50,0,zahranicie  zahranicie - francuzsko,0
24,1,71,1,zilinsky kraj  kysucke nove mesto,26
25,1,74,0,zilinsky kraj  kysucke nove mesto,20
26,0,16,0,zilinsky kraj  cadca,21
27,1,72,1,zilinsky kraj  zilina,23
28,1,71,1,zilinsky kraj  cadca,19
29,1,67,0,zilinsky kraj  kysucke nove mesto,19
30,1,12,1,zilinsky kraj  kysucke nove mesto,21
31,1,62,1,zilinsky kraj  kysucke nove mesto,24
32,1,72,1,zilinsky kraj  kysucke nove mesto,21
33,0,69,1,zilinsky kraj  kysucke nove mesto,22
34,1,66,1,zilinsky kraj  zilina,23
35,0,55,0,zilinsky kraj  kysucke nove mesto,21
36,1,64,1,zilinsky kraj  kysucke nove mesto,28
37,0,78,1,zilinsky kraj  kysucke nove mesto,20
38,0,12,1,zilinsky kraj  zilina,22
39,0,29,1,zilinsky kraj  zilina,18
40,1,22,1,zilinsky kraj  kysucke nove mesto,0
41,1,69,1,zilinsky kraj  zilina,16
42,1,40,1,zilinsky kraj  zilina,22
43,1,55,1,zilinsky kraj  kysucke nove mesto,19
44,0,19,1,zilinsky kraj  kysucke nove mesto,0
45,0,55,0,zilinsky kraj  cadca,21
46,0,69,0,zilinsky kraj  kysucke nove mesto,21
47,1,67,0,zilinsky kraj  kysucke nove mesto,19
48,1,76,1,zahranicie  zahranicie - ostatne,0
49,0,64,1,zilinsky kraj  kysucke nove mesto,23
50,0,43,0,zilinsky kraj  zilina,0
51,0,66,1,zilinsky kraj  kysucke nove mesto,21
52,0,57,1,zilinsky kraj  kysucke nove mesto,22
53,0,69,1,zilinsky kraj  kysucke nove mesto,20
54,0,83,1,zilinsky kraj  kysucke nove mesto,0
55,1,69,0,zilinsky kraj  kysucke nove mesto,21
56,1,66,0,zilinsky kraj  kysucke nove mesto,19
57,1,36,0,zilinsky kraj  kysucke nove mesto,19
58,1,34,0,zilinsky kraj  kysucke nove mesto,0
59,1,69,1,zilinsky kraj  kysucke nove mesto,22
60,1,31,0,zilinsky kraj  cadca,19
61,1,12,0,zilinsky kraj  zilina,23
62,1,72,1,zilinsky kraj  kysucke nove mesto,22
63,1,55,0,zilinsky kraj  kysucke nove mesto,0
64,1,59,1,zilinsky kraj  kysucke nove mesto,0
65,1,12,1,zilinsky kraj  martin,0
66,0,28,0,zilinsky kraj  zilina,0
67,1,72,1,zilinsky kraj  zilina,23
68,1,19,0,zilinsky kraj  kysucke nove mesto,0
69,0,19,1,zilinsky kraj  kysucke nove mesto,22
70,0,78,0,zilinsky kraj  kysucke nove mesto,0
71,0,60,1,zilinsky kraj  kysucke nove mesto,22
72,1,67,0,zilinsky kraj  kysucke nove mesto,19
73,1,14,0,zilinsky kraj  zilina,18
74,0,57,0,zilinsky kraj  kysucke nove mesto,27
75,1,69,1,zilinsky kraj  kysucke nove mesto,0
76,1,72,1,zilinsky kraj  bytca,0
77,0,31,1,zilinsky kraj  zilina,23
78,0,84,1,zilinsky kraj  kysucke nove mesto,20
79,1,71,1,zilinsky kraj  kysucke nove mesto,23
80,1,60,0,zahranicie  zahranicie - ostatne,24
81,0,21,1,zilinsky kraj  kysucke nove mesto,25
82,0,28,0,zilinsky kraj  kysucke nove mesto,20
83,1,59,0,zilinsky kraj  kysucke nove mesto,20
84,0,40,0,trenciansky kraj  prievidza,19
85,1,12,0,zilinsky kraj  kysucke nove mesto,21
86,1,14,1,zilinsky kraj  kysucke nove mesto,24
87,1,17,1,zilinsky kraj  zilina,23
88,0,12,0,zilinsky kraj  zilina,18
89,1,66,1,zahranicie  zahranicie - ostatne,19
90,0,24,0,zilinsky kraj  cadca,18
91,1,43,1,zilinsky kraj  zilina,23
92,1,71,0,zilinsky kraj  kysucke nove mesto,22
93,1,60,1,zilinsky kraj  kysucke nove mesto,21
94,1,14,1,zahranicie  zahranicie - nemecko,20
95,1,14,1,zilinsky kraj  zilina,23
96,1,53,0,zilinsky kraj  kysucke nove mesto,21
97,0,17,1,zahranicie  zahranicie - australia,23
98,1,43,0,zilinsky kraj  zilina,0
99,1,84,0,zilinsky kraj  kysucke nove mesto,18
100,1,43,0,zilinsky kraj  kysucke nove mesto,21
101,1,86,1,zilinsky kraj  zilina,20
102,0,38,1,zilinsky kraj  cadca,0
103,1,12,1,zilinsky kraj  cadca,0
104,0,14,1,zahranicie  zahranicie - gb,0
105,0,69,1,zilinsky kraj  kysucke nove mesto,23
106,1,64,1,zilinsky kraj  kysucke nove mesto,22
107,1,67,1,zilinsky kraj  kysucke nove mesto,24
108,0,21,1,zilinsky kraj  kysucke nove mesto,0
109,0,14,0,zilinsky kraj  zilina,0
110,0,12,0,zilinsky kraj  kysucke nove mesto,21
111,1,72,1,zilinsky kraj  kysucke nove mesto,18
112,1,50,1,zilinsky kraj  kysucke nove mesto,21
113,1,55,1,zilinsky kraj  kysucke nove mesto,22
114,1,12,1,zahranicie  zahranicie - kanada,0
115,1,72,1,zilinsky kraj  kysucke nove mesto,20
116,1,66,1,zilinsky kraj  bytca,19
117,0,17,1,zilinsky kraj  kysucke nove mesto,21
118,1,17,1,zilinsky kraj  kysucke nove mesto,29
119,0,43,0,zilinsky kraj  kysucke nove mesto,20
120,0,12,1,zilinsky kraj  zilina,0
121,0,12,1,zahranicie  zahranicie - usa,0
122,0,12,1,zilinsky kraj  zilina,0
123,1,31,1,zilinsky kraj  zilina,21
124,0,64,1,zilinsky kraj  kysucke nove mesto,21
125,1,14,1,zilinsky kraj  kysucke nove mesto,0
126,0,14,1,zilinsky kraj  kysucke nove mesto,0
127,0,43,1,zilinsky kraj  kysucke nove mesto,21
128,0,12,1,zilinsky kraj  rajec,21
129,0,74,0,zilinsky kraj  kysucke nove mesto,19
130,1,71,1,zilinsky kraj  kysucke nove mesto,21
131,1,71,1,zilinsky kraj  kysucke nove mesto,22
132,1,14,1,zahranicie  zahranicie - ostatne,23
133,0,64,1,zilinsky kraj  kysucke nove mesto,22
134,0,57,1,zilinsky kraj  kysucke nove mesto,21
135,1,33,0,zilinsky kraj  kysucke nove mesto,21
136,1,48,1,zilinsky kraj  zilina,22
137,1,66,0,zilinsky kraj  kysucke nove mesto,20
138,1,60,0,trnavsky kraj  galanta,29
139,0,64,1,zahranicie  zahranicie - ostatne,0
140,1,67,0,zilinsky kraj  kysucke nove mesto,21
141,1,66,0,zilinsky kraj  zilina,23
142,1,62,1,zilinsky kraj  kysucke nove mesto,20
143,1,72,0,zilinsky kraj  kysucke nove mesto,21
144,1,67,1,zahranicie  zahranicie - francuzsko,22
145,0,74,1,zahranicie  zahranicie - francuzsko,21
146,1,12,0,zilinsky kraj  kysucke nove mesto,20
147,0,14,0,zilinsky kraj  kysucke nove mesto,0
148,1,29,1,zilinsky kraj  kysucke nove mesto,0
149,1,12,1,zilinsky kraj  kysucke nove mesto,27
